timestamps,TP9,AF7,AF8,TP10,Right AUX
1746583604.422,-261.230,-60.059,-37.598,-256.348,0.000
1746583604.426,-808.594,176.270,43.945,-808.105,0.000
1746583604.430,240.234,15.625,-3.906,239.746,0.000
1746583604.434,-1000.000,-258.301,-87.402,-1000.000,0.000
1746583604.438,-539.062,-145.996,-57.617,-481.445,0.000
1746583604.442,-952.637,165.527,27.832,-914.062,0.000
1746583604.446,690.918,120.605,15.625,633.301,0.000
1746583604.450,-863.281,-198.730,-90.820,-943.359,0.000
1746583604.453,-1000.000,-232.422,-107.910,-999.512,0.000
1746583604.457,308.105,41.992,2.441,477.051,0.000
1746583604.461,-824.219,167.969,39.062,-854.980,0.000
1746583604.465,-154.297,-93.262,-60.059,-219.727,0.000
1746583604.469,-1000.000,-257.324,-107.422,-1000.000,0.000
1746583604.473,-203.125,-11.719,-17.090,-124.023,0.000
1746583604.477,-814.453,191.406,44.434,-797.852,0.000
1746583604.481,232.422,-35.156,-38.086,208.984,0.000
1746583604.485,-1000.000,-250.000,-125.977,-1000.000,0.000
1746583604.489,-297.852,-84.961,-72.754,-264.648,0.000
1746583604.493,-819.824,170.898,30.273,-808.105,0.000
1746583604.496,360.840,36.133,-0.488,310.547,0.000
1746583604.500,-1000.000,-244.629,-102.539,-1000.000,0.000
1746583604.504,-694.336,-169.434,-78.613,-602.051,0.000
1746583604.508,903.320,142.578,25.391,988.770,0.000
1746583604.512,877.930,162.598,24.902,812.988,0.000
1746583604.516,-639.648,-142.090,-84.473,-716.309,0.000
1746583604.520,-1000.000,-217.285,-113.770,-1000.000,0.000
1746583604.524,133.789,64.941,-12.207,226.562,0.000
1746583604.528,-798.340,196.777,33.203,-804.688,0.000
1746583604.532,-29.297,-75.684,-54.199,-76.660,0.000
1746583604.536,-1000.000,-237.793,-113.281,-1000.000,0.000
1746583604.539,-236.328,-33.691,-33.203,-214.844,0.000
1746583604.543,-815.918,176.758,45.410,-811.035,0.000
1746583604.547,238.281,4.395,-28.809,233.887,0.000
